word,n
the,96924
to,56114
and,48960
a,48136
of,40458
in,33408
i,33304
for,22231
is,21969
that,20820
it,18918
you,18810
on,16554
with,14382
was,12777
my,12305
at,11319
be,11170
this,10791
have,10693
are,9735
as,9594
but,9528
he,8447
we,8387
not,8198
from,7858
so,7843
me,7348
its,7154
all,6964
they,6494
will,6485
or,6370
by,6249
just,6225
your,6132
said,6066
an,6023
up,6012
one,5983
out,5960
about,5954
his,5944
what,5621
if,5612
when,5540
like,5484
has,5292
do,5036
who,5023
im,4961
can,4913
more,4889
had,4780
get,4500
were,4493
time,4472
her,4253
there,4192
would,4180
some,4071
their,4049
no,4012
she,3928
new,3887
our,3744
been,3729
dont,3577
now,3528
how,3521
good,3491
day,3468
them,3291
know,3265
love,3180
people,3139
us,3054
back,2987
which,2909
than,2884
first,2852
see,2847
year,2837
go,2803
after,2799
into,2741
well,2644
over,2620
make,2612
only,2582
going,2549
also,2542
last,2536
think,2531
other,2515
because,2492
great,2492
then,2473
much,2472
two,2441
him,2438
am,2396
too,2333
really,2306
could,2271
got,2246
way,2220
today,2191
right,2183
even,2149
work,2101
did,2088
off,2085
years,2066
want,2054
still,2029
need,2027
thanks,1980
here,1970
where,1940
very,1903
life,1855
most,1848
rt,1824
down,1809
should,1807
any,1801
cant,1780
before,1779
those,1767
say,1761
never,1755
take,1745
being,1729
thats,1719
made,1714
come,1692
these,1686
many,1662
home,1660
best,1653
little,1647
u,1626
week,1598
may,1597
while,1594
next,1576
why,1554
school,1537
something,1501
night,1500
game,1498
through,1493
things,1484
didnt,1401
lol,1401
long,1385
another,1373
always,1370
state,1356
better,1348
happy,1342
show,1326
around,1322
ive,1319
every,1317
youre,1315
big,1308
old,1267
world,1264
look,1262
three,1253
same,1244
since,1225
city,1190
again,1179
such,1176
few,1172
feel,1168
hope,1160
thing,1157
man,1149
use,1147
follow,1143
help,1133
high,1122
lot,1107
days,1093
find,1093
own,1093
sure,1093
ill,1087
team,1087
place,1080
give,1062
getting,1055
ever,1054
part,1051
looking,1042
put,1042
pm,1028
tonight,1027
both,1026
each,1024
house,1022
thank,1019
keep,1011
doing,1008
does,1004
family,1004
away,1000
says,998
play,996
end,981
though,967
until,967
free,956
left,951
season,930
during,927
let,924
might,920
s,917
th,914
done,912
everyone,897
money,895
making,893
hes,892
start,892
found,891
morning,888
used,887
book,882
thought,882
against,881
went,880
without,875
oh,870
someone,857
doesnt,852
point,850
god,847
second,845
hard,842
already,841
friends,831
call,822
came,822
between,817
st,815
having,814
yes,814
fun,809
live,808
told,805
top,805
enough,803
job,803
real,799
